name; image path; job
Stéphane Ducasse; stephane-ducasse.png; Pharo Leader, Inria scientist
Pablo Tesone; pablo-tesone.png; Pharo consortium
Guillermo Polito; guillermo-polito.png; CNRS research engineer
Steven Costiou; steven-costiou.png; Inria Scientist
Pavel Krivanek; pavel-krivanek.jpg; Nidea s.r.o.
Esteban Lorenzano; esteban-lorenzano.jpg; Pharo Release Manager, Pharo consortium
Christophe Demarey; christophe-demarey.png; Inria
Richard Uttner; richard-uttner.jpeg; CEO of the German company Projector Software GmbH since 1988
David Bajger; david-bajger.png; long time smalltalker, Pharo enthusiast at off-work time
Massimo Nocentini; massimo-nocentini.jpeg; University of Florence and freelancer
Noury Bouraqadi; noury-bouraqadi.jpeg; EMT Douai
John Aspinall.png; john-aspinall.png; Freelance developer
Milton Mamani Torres; milton-mamani-torres.png; Inria
Sebastian Jordan Montano; sebastian-jordan-montano.jpg; Inria
Domenico Cipriani; domenico-cipriani.jpeg; Restoration Records
Norbert Hartl;;
